week,most_viewed_film,weekly_views
"May 21, 2017 - May 27, 2017",Spider-Man: Homecoming,4.293
"May 14, 2017 - May 20, 2017",The Emoji Movie,3.841
"May 7, 2017 - May 13, 2017",Blade Runner 2049,12.711
"Apr. 30, 2017 - May 6, 2017",The Dark Tower,10.295
"Apr. 23, 2017 - Apr. 29, 2017",Kingsman: The Golden Circle,15.004
"Apr. 16, 2017 - Apr. 22, 2017",Star Wars: The Last Jedi,12.599
"Apr. 9, 2017 - Apr. 15, 2017",Thor: Ragnarok,31.683
"Apr. 2, 2017 - Apr. 8, 2017",The Mummy,12.12
"Mar. 26, 2017 - Apr. 1, 2017",Spider-Man: Homecoming,23.844
"Mar. 19, 2017 - Mar. 25, 2017",Despicable Me 3,7.408
"Mar. 12, 2017 - Mar. 18, 2017",Despicable Me 3,9.406
"Mar. 5, 2017 - Mar. 11, 2017",The Fate of the Furious,5.66
"Feb. 26, 2017 - Mar. 4, 2017",Alien: Covenant,13.535
"Feb. 19, 2017 - Feb. 25, 2017",King Arthur: Legend of the Sword,3.711
"Feb. 12, 2017 - Feb. 18, 2017",Ghost in the Shell,4.068
"Feb. 5, 2017 - Feb. 11, 2017",The LEGO Ninjago Movie,3.428
"Jan. 29, 2017 - Feb. 4, 2017",Beauty and the Beast,12.159
"Jan. 22, 2017 - Jan. 28, 2017",Power Rangers,7.025
"Jan. 15, 2017 - Jan. 21, 2017",Power Rangers,17.04
"Jan. 8, 2017 - Jan. 14, 2017",Cars 3,9.56
"Jan. 1, 2017 - Jan. 7, 2017",Fifty Shades Darker,10.717
